id,title,release_date,imdb_score
37,Yogi Bear,Christmas,4.6
37,Spirit: Stallion of the Cimarron,SummerVacation,7.1
37,Ted 2,SummerVacation,6.3
37,Surf's Up,SummerVacation,6.7
37,Hidden Figures,Other,7.8
37,Halloween,Other,6.6
37,Captain Phillips,Other,7.8
38,RED,Other,7
38,The Princess Diaries 2: Royal Engagement,SummerVacation,5.8
38,Crazy Rich Asians,SummerVacation,6.9
38,21 Jump Street,Easter,7.2
38,Final Destination,Easter,6.7
38,Lara Croft Tomb Raider: The Cradle of Life,SummerVacation,5.5
38,Eagle Eye,Other,6.6
38,Cheaper by the Dozen 2,Christmas,5.5
38,Couples Retreat,Other,5.5
38,Dracula Untold,Other,6.3
38,Tomorrowland,SummerVacation,6.4
38,Ghostbusters,SummerVacation,5.2
38,The Game Plan,Other,6.1
39,Spy Kids 2: Island of Lost Dreams,SummerVacation,5.1
39,Alien: Covenant,SummerVacation,6.4
39,The Expendables 3,SummerVacation,6.1
39,Along Came a Spider,Easter,6.4
39,Seabiscuit,SummerVacation,7.3
39,Cloverfield,Other,7
39,Total Recall,SummerVacation,6.3
39,Man on Fire,Easter,7.7
39,White House Down,SummerVacation,6.4
39,Up in the Air,Christmas,7.4
39,Inferno,Other,6.2
39,Gemini Man,Other,5.7
39,Paranormal Activity 2,Other,5.6
39,Creed II,Christmas,7.2
40,Mission to Mars,Easter,5.7
40,Gothika,Christmas,5.8
40,Seven Pounds,Christmas,7.6
40,Hide and Seek,Other,6
40,Training Day,Other,7.7
40,V for Vendetta,Easter,8.2
40,Hop,Easter,5.4
40,Hannah Montana: The Movie,Easter,4.4
40,Central Intelligence,SummerVacation,6.3
40,Percy Jackson: Sea of Monsters,SummerVacation,5.8
40,Ford v Ferrari,Christmas,8.3
40,Into the Woods,Christmas,5.9
40,The A-Team,SummerVacation,6.7
40,Music and Lyrics,Other,6.5
40,Smallfoot,Other,6.6
40,Straight Outta Compton,SummerVacation,7.9
41,Blade: Trinity,Christmas,5.9
41,"You, Me and Dupree",SummerVacation,5.6
41,The Intern,Other,7.1
41,War Horse,Christmas,7.2
41,Bridget Jones's Baby,Other,6.5
41,Nanny McPhee,Other,6.5
41,Mona Lisa Smile,Christmas,6.5
41,Jimmy Neutron: Boy Genius,Christmas,6
41,The Taking of Pelham 123,SummerVacation,6.4
41,Fury,Other,7.6
41,Jackass 3D,Other,7
41,The Kid,SummerVacation,6.1
41,Blades of Glory,Easter,6.3
