"year","character_name","n"
1993,"Ross",942
1993,"Chandler",1394
1993,"Joey",706
1994,"Rachel",15511
1994,"Phoebe",247
1994,"Monica",3932
1994,"Ross",838
1994,"Chandler",1274
1994,"Joey",607
1995,"Rachel",16072
1995,"Phoebe",396
1995,"Monica",3980
1995,"Ross",1047
1995,"Chandler",2600
1995,"Joey",574
1996,"Rachel",16140
1996,"Phoebe",432
1996,"Monica",4342
1996,"Ross",1041
1996,"Chandler",2678
1996,"Joey",519
1997,"Rachel",13810
1997,"Phoebe",419
1997,"Monica",4232
1997,"Ross",795
1997,"Chandler",2212
1997,"Joey",497
1998,"Rachel",12219
1998,"Phoebe",397
1998,"Monica",3242
1998,"Ross",789
1998,"Chandler",2364
1998,"Joey",474
1999,"Rachel",11641
1999,"Phoebe",527
1999,"Monica",2133
1999,"Ross",672
1999,"Chandler",2842
1999,"Joey",519
2000,"Rachel",10685
2000,"Phoebe",641
2000,"Monica",1990
2000,"Ross",566
2000,"Chandler",2457
2000,"Joey",561
2001,"Rachel",9545
2001,"Phoebe",752
2001,"Monica",1799
2001,"Ross",503
2001,"Chandler",2032
2001,"Joey",530
2002,"Rachel",8938
2002,"Phoebe",665
2002,"Monica",1778
2002,"Ross",425
2002,"Chandler",1640
2002,"Joey",540
2003,"Rachel",7995
2003,"Phoebe",688
2003,"Monica",1613
2003,"Ross",383
2003,"Chandler",1442
2003,"Joey",626
2004,"Rachel",6948
2004,"Phoebe",756
2004,"Monica",1521
2004,"Ross",356
2004,"Chandler",1266
2004,"Joey",629
2005,"Rachel",6226
2005,"Phoebe",730
2005,"Monica",1409
2005,"Ross",313
2005,"Chandler",1026
2005,"Joey",628
2006,"Rachel",5534
2006,"Phoebe",890
2006,"Monica",1362
2006,"Ross",283
2006,"Chandler",885
2006,"Joey",600
2007,"Rachel",4832
2007,"Phoebe",988
2007,"Monica",1190
2007,"Ross",261
2007,"Chandler",809
2007,"Joey",603
2008,"Rachel",4083
2008,"Phoebe",959
2008,"Monica",1061
2008,"Ross",258
2008,"Chandler",729
2008,"Joey",557
2009,"Rachel",3587
2009,"Phoebe",1016
2009,"Monica",972
2009,"Ross",227
2009,"Chandler",679
2009,"Joey",506
2010,"Rachel",3016
2010,"Phoebe",1038
2010,"Monica",886
2010,"Ross",218
2010,"Chandler",640
2010,"Joey",506
2011,"Rachel",2655
2011,"Phoebe",1022
2011,"Monica",776
2011,"Ross",214
2011,"Chandler",755
2011,"Joey",497
2012,"Rachel",2420
2012,"Phoebe",1060
2012,"Monica",722
2012,"Ross",212
2012,"Chandler",756
2012,"Joey",486
2013,"Rachel",2311
2013,"Phoebe",1059
2013,"Monica",597
2013,"Ross",193
2013,"Chandler",869
2013,"Joey",453
2014,"Rachel",2086
2014,"Phoebe",1102
2014,"Monica",575
2014,"Ross",184
2014,"Chandler",952
2014,"Joey",486
2015,"Rachel",1927
2015,"Phoebe",1117
2015,"Monica",555
2015,"Ross",166
2015,"Chandler",979
2015,"Joey",411
2016,"Rachel",1869
2016,"Phoebe",1028
2016,"Monica",517
2016,"Ross",191
2016,"Chandler",916
2016,"Joey",507
2017,"Rachel",1591
2017,"Phoebe",1012
2017,"Monica",469
2017,"Ross",167
2017,"Chandler",836
2017,"Joey",440
